               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11381,             0.01479,             0.07659,           0.0065413,                 0.4,           0.0085682,           0.0016299,            0.084245,            0.011215,            0.065063,              0.0982,              0.0002,              0.0002
                   1,             0.11002,            0.014146,            0.076431,           0.0069388,               0.425,           0.0073878,           0.0014531,            0.078594,            0.012014,            0.063263,            0.095499,          0.00049901,          0.00049901
                   2,             0.10299,             0.01822,            0.074645,           0.0076923,               0.475,           0.0082864,           0.0017014,            0.069219,            0.013585,            0.060445,            0.092797,          0.00079683,          0.00079683
                   3,            0.094069,             0.01934,            0.070907,           0.0069552,                0.45,           0.0099992,           0.0020994,            0.062156,            0.014896,            0.057571,            0.090093,           0.0010935,           0.0010935
                   4,             0.08946,            0.024255,            0.067337,           0.0087493,                 0.6,            0.010174,           0.0019728,            0.060538,            0.015303,            0.054561,            0.087389,           0.0013889,           0.0013889
                   5,            0.082886,            0.020166,            0.063239,            0.010711,               0.725,            0.012492,            0.002437,            0.059123,             0.01551,            0.052692,            0.084683,           0.0016832,           0.0016832
                   6,            0.081835,            0.027313,            0.060135,            0.012463,               0.925,            0.018347,           0.0046462,            0.056592,            0.015624,            0.050032,            0.081976,           0.0019762,           0.0019762
                   7,            0.077832,            0.024352,            0.057753,            0.012382,                   1,            0.027372,           0.0080633,             0.05346,            0.015563,            0.048153,            0.079268,           0.0022681,           0.0022681
                   8,            0.076275,            0.024743,            0.053633,            0.010452,                   1,            0.074207,            0.019441,             0.05783,             0.01496,            0.043287,            0.076559,           0.0025588,           0.0025588
                   9,            0.074413,            0.027279,            0.051134,            0.010199,                   1,             0.19324,            0.061741,            0.052782,            0.014468,            0.041458,            0.073848,           0.0028483,           0.0028483
                  10,            0.070355,              0.0242,            0.047018,           0.0097593,                   1,             0.11495,            0.035637,            0.055637,            0.013256,            0.036741,            0.071137,           0.0031366,           0.0031366
                  11,            0.068836,            0.024295,            0.043992,             0.26115,             0.47241,             0.28473,            0.067714,            0.049689,            0.013496,            0.034789,            0.068424,           0.0034238,           0.0034238
                  12,            0.065502,            0.024968,            0.039694,            0.070301,                 0.9,            0.072339,            0.026084,            0.065823,            0.010667,            0.032313,             0.06571,           0.0037097,           0.0037097
                  13,             0.07013,             0.02034,            0.039536,             0.18324,               0.725,             0.24446,            0.061462,            0.056021,            0.011372,            0.031994,            0.062994,           0.0039945,           0.0039945
                  14,            0.065359,            0.022217,            0.038274,             0.16508,                 0.7,             0.18621,            0.047518,            0.066477,            0.010667,            0.033188,            0.060278,            0.004278,            0.004278
                  15,             0.07375,            0.018545,            0.034715,             0.40522,             0.74709,             0.58645,             0.14819,            0.063046,            0.011365,            0.033445,             0.05756,           0.0045604,           0.0045604
                  16,            0.069006,            0.017403,            0.033133,             0.21384,               0.575,             0.19605,            0.052858,            0.051678,            0.012797,            0.033614,            0.054842,           0.0048416,           0.0048416
                  17,            0.065587,             0.01797,             0.03337,             0.45744,               0.825,             0.70921,             0.23563,            0.060401,            0.012746,            0.034323,            0.052122,           0.0051216,           0.0051216
                  18,            0.067063,            0.018338,            0.032051,             0.25023,              0.7453,             0.26121,            0.059856,            0.059759,            0.012335,            0.032638,              0.0494,           0.0054004,           0.0054004
                  19,            0.064901,            0.015658,            0.031598,             0.46173,             0.87784,              0.7544,             0.25887,            0.053193,            0.012158,            0.031769,            0.046678,            0.005678,            0.005678
                  20,            0.065952,            0.019246,            0.031066,            0.059583,                0.75,            0.061141,              0.0215,            0.074918,            0.012679,            0.030402,            0.043954,           0.0059545,           0.0059545
                  21,            0.081234,            0.015795,            0.029765,             0.42665,             0.82382,             0.75078,             0.32084,            0.052415,            0.011403,            0.027982,             0.04123,           0.0062297,           0.0062297
                  22,            0.062759,            0.017988,            0.030024,             0.63548,                0.55,             0.66762,             0.31225,            0.068173,            0.010271,            0.025674,            0.038504,           0.0065038,           0.0065038
                  23,            0.082669,            0.014308,             0.03021,             0.31893,               0.775,             0.37903,             0.10881,            0.056022,           0.0099597,            0.024955,            0.035777,           0.0067767,           0.0067767
                  24,            0.066945,            0.014717,            0.028693,             0.13065,               0.475,             0.12849,            0.032432,             0.06818,           0.0095188,            0.023441,            0.033048,           0.0070484,           0.0070484
                  25,            0.072173,            0.016916,            0.027537,             0.33906,                0.25,             0.38506,            0.086028,              0.0535,           0.0098501,            0.024615,            0.030319,           0.0073188,           0.0073188
                  26,            0.063427,            0.017805,            0.027322,             0.26739,             0.58284,             0.40046,               0.132,            0.055862,            0.009354,            0.027477,            0.027588,           0.0075882,           0.0075882
                  27,            0.070923,            0.016051,            0.026639,             0.20522,              0.4719,             0.27636,            0.067638,            0.060329,           0.0094109,            0.024487,            0.024856,           0.0078563,           0.0078563
                  28,            0.072315,            0.016267,            0.026049,             0.20522,              0.4719,             0.27636,            0.067638,            0.060329,           0.0094109,            0.024487,            0.022123,           0.0081232,           0.0081232
                  29,            0.063606,            0.017029,            0.023825,              0.3494,             0.88181,             0.38136,             0.11848,            0.052213,           0.0092935,            0.025672,            0.019389,            0.008389,            0.008389
                  30,            0.067519,            0.015547,            0.023387,             0.14183,                 0.2,              0.1394,            0.025862,            0.060383,           0.0092915,            0.025121,            0.016654,           0.0086535,           0.0086535
                  31,            0.076832,             0.01462,            0.020913,             0.27941,               0.775,             0.28253,            0.092508,            0.058864,           0.0090144,             0.02439,            0.013917,           0.0089169,           0.0089169
                  32,            0.070016,            0.017674,            0.019899,             0.27941,               0.775,             0.28253,            0.092508,            0.058864,           0.0090144,             0.02439,            0.011179,           0.0091791,           0.0091791
                  33,            0.056167,            0.015977,            0.019959,             0.63165,              0.8219,             0.83821,             0.32664,            0.041192,            0.010622,            0.015919,           0.0093466,           0.0093466,           0.0093466
                  34,            0.060891,            0.016996,            0.018996,             0.29838,               0.825,             0.43701,             0.14382,            0.052847,           0.0094652,            0.013548,           0.0093466,           0.0093466,           0.0093466
                  35,            0.070213,             0.01365,            0.015199,             0.36363,                0.65,             0.50083,             0.11125,            0.054068,           0.0094867,            0.012898,           0.0093268,           0.0093268,           0.0093268
                  36,            0.069592,            0.014661,            0.015951,             0.36363,                0.65,             0.50083,             0.11125,            0.054068,           0.0094867,            0.012898,            0.009307,            0.009307,            0.009307
                  37,            0.066386,            0.014328,            0.014777,             0.40556,             0.91309,             0.65794,             0.32533,            0.046533,           0.0097862,             0.01146,           0.0092872,           0.0092872,           0.0092872
                  38,            0.064694,            0.014982,            0.018142,             0.33833,                0.85,             0.55291,             0.18838,            0.052342,            0.010227,            0.017778,           0.0092674,           0.0092674,           0.0092674
                  39,             0.06847,            0.015106,            0.013173,             0.34816,               0.775,             0.47047,             0.16075,            0.069944,           0.0098526,            0.030605,           0.0092476,           0.0092476,           0.0092476
                  40,            0.073223,            0.014282,            0.011456,             0.34816,               0.775,             0.47047,             0.16075,            0.069944,           0.0098526,            0.030605,           0.0092278,           0.0092278,           0.0092278
                  41,            0.064917,            0.013291,            0.015324,             0.72443,             0.88219,             0.84462,              0.3611,            0.046493,           0.0098926,           0.0081517,            0.009208,            0.009208,            0.009208
                  42,            0.063641,            0.014567,            0.015447,             0.43265,             0.86334,             0.63716,               0.218,            0.050731,           0.0095007,           0.0084911,           0.0091882,           0.0091882,           0.0091882
                  43,            0.060488,            0.015346,            0.017531,             0.48891,                 0.9,             0.64326,             0.23751,            0.048945,           0.0090807,           0.0082834,           0.0091684,           0.0091684,           0.0091684
                  44,             0.06314,            0.013691,            0.011329,             0.48891,                 0.9,             0.64326,             0.23751,            0.048945,           0.0090807,           0.0082834,           0.0091486,           0.0091486,           0.0091486
                  45,             0.06227,            0.014379,            0.010883,             0.31063,               0.875,              0.3531,             0.15651,             0.04885,           0.0088425,            0.009099,           0.0091288,           0.0091288,           0.0091288
                  46,            0.064773,            0.014952,           0.0097204,             0.47704,               0.675,             0.72262,             0.37089,            0.050835,           0.0081397,            0.010612,            0.009109,            0.009109,            0.009109
                  47,            0.062384,            0.013011,            0.010267,             0.30842,                0.95,             0.47801,             0.14809,            0.043691,           0.0084644,            0.013414,           0.0090892,           0.0090892,           0.0090892
                  48,            0.062816,            0.017042,            0.012021,             0.30842,                0.95,             0.47801,             0.14809,            0.043691,           0.0084644,            0.013414,           0.0090694,           0.0090694,           0.0090694
                  49,            0.052503,            0.015477,             0.01411,             0.53744,                 0.9,             0.78772,             0.30543,            0.035409,           0.0082468,            0.015742,           0.0090496,           0.0090496,           0.0090496
                  50,            0.049134,            0.015964,            0.011049,             0.42559,               0.775,             0.61574,             0.21923,            0.047045,           0.0076391,           0.0081443,           0.0090298,           0.0090298,           0.0090298
                  51,            0.052276,            0.014919,            0.012158,             0.74529,               0.975,             0.84096,             0.25859,            0.045105,           0.0078209,           0.0070995,             0.00901,             0.00901,             0.00901
                  52,             0.05637,            0.014996,            0.009035,             0.74529,               0.975,             0.84096,             0.25859,            0.045105,           0.0078209,           0.0070995,           0.0089902,           0.0089902,           0.0089902
                  53,            0.054226,             0.01526,           0.0097274,             0.49261,             0.89102,             0.69088,             0.24516,            0.036156,           0.0078838,           0.0068008,           0.0089704,           0.0089704,           0.0089704
                  54,            0.054953,            0.012878,           0.0095431,             0.57497,                 0.9,             0.87985,             0.52563,            0.046408,           0.0083419,           0.0059437,           0.0089506,           0.0089506,           0.0089506
                  55,            0.060961,            0.013554,            0.010215,             0.50765,               0.875,             0.80979,             0.29684,            0.055181,           0.0086772,           0.0056045,           0.0089308,           0.0089308,           0.0089308
                  56,            0.064345,            0.012097,           0.0091354,             0.50765,               0.875,             0.80979,             0.29684,            0.055181,           0.0086772,           0.0056045,            0.008911,            0.008911,            0.008911
                  57,            0.055668,            0.013089,           0.0088847,             0.80639,             0.89385,             0.93126,              0.4084,            0.039415,           0.0082781,           0.0053711,           0.0088912,           0.0088912,           0.0088912
                  58,            0.053172,             0.01254,            0.010937,              0.5685,             0.89004,             0.74382,             0.26487,            0.046422,           0.0078819,           0.0052014,           0.0088714,           0.0088714,           0.0088714
                  59,            0.057239,             0.01239,           0.0089622,             0.91773,             0.99658,             0.98003,             0.43341,            0.035832,            0.007103,           0.0050017,           0.0088516,           0.0088516,           0.0088516
                  60,            0.048421,            0.013494,           0.0082185,             0.91773,             0.99658,             0.98003,             0.43341,            0.035832,            0.007103,           0.0050017,           0.0088318,           0.0088318,           0.0088318
                  61,            0.048413,             0.01232,           0.0083619,             0.70945,                   1,             0.88187,             0.48477,            0.031595,           0.0073504,           0.0047525,            0.008812,            0.008812,            0.008812
                  62,            0.049604,            0.013562,            0.008572,             0.39045,                0.95,             0.61159,             0.21112,            0.046473,           0.0077437,           0.0044462,           0.0087922,           0.0087922,           0.0087922
                  63,            0.057144,            0.013829,           0.0092739,             0.71132,             0.85422,             0.90334,             0.35794,            0.047551,           0.0077854,           0.0042864,           0.0087724,           0.0087724,           0.0087724
                  64,             0.06476,            0.011154,           0.0073191,             0.71132,             0.85422,             0.90334,             0.35794,            0.047551,           0.0077854,           0.0042864,           0.0087526,           0.0087526,           0.0087526
                  65,            0.059854,            0.011722,           0.0075955,             0.76303,                 0.9,             0.92563,             0.46201,             0.04467,           0.0075927,           0.0041901,           0.0087328,           0.0087328,           0.0087328
                  66,            0.054277,            0.011588,           0.0079357,             0.86358,             0.92571,              0.9515,             0.36813,            0.040508,           0.0073688,           0.0040609,            0.008713,            0.008713,            0.008713
                  67,             0.05433,            0.012691,           0.0062604,             0.34317,                 0.9,             0.54149,             0.23059,            0.045997,           0.0073225,           0.0040405,           0.0086932,           0.0086932,           0.0086932
                  68,            0.058508,            0.011419,           0.0062483,             0.34317,                 0.9,             0.54149,             0.23059,            0.045997,           0.0073225,           0.0040405,           0.0086734,           0.0086734,           0.0086734
                  69,            0.057173,            0.013829,           0.0073511,             0.44082,               0.825,             0.67272,             0.33177,            0.041889,           0.0071495,           0.0040078,           0.0086536,           0.0086536,           0.0086536
                  70,            0.055378,           0.0099456,           0.0065459,             0.74858,             0.96605,             0.84648,             0.54736,            0.036912,           0.0068799,            0.004033,           0.0086338,           0.0086338,           0.0086338
                  71,            0.051649,            0.012324,           0.0066112,             0.93921,                   1,               0.995,             0.47538,            0.031332,           0.0067924,           0.0041227,            0.008614,            0.008614,            0.008614
                  72,            0.047028,            0.013809,           0.0067975,             0.93921,                   1,               0.995,             0.47538,            0.031332,           0.0067924,           0.0041227,           0.0085942,           0.0085942,           0.0085942
                  73,            0.044146,            0.014428,           0.0080867,              0.9122,                   1,               0.995,             0.52759,             0.02913,           0.0068289,           0.0040678,           0.0085744,           0.0085744,           0.0085744
                  74,            0.045186,            0.012151,           0.0066977,             0.93351,                   1,             0.98786,             0.49793,            0.035031,           0.0067378,             0.00397,           0.0085546,           0.0085546,           0.0085546
                  75,            0.050142,            0.011545,           0.0066396,             0.76515,               0.975,             0.93233,             0.44316,            0.040188,           0.0070847,           0.0041075,           0.0085348,           0.0085348,           0.0085348
                  76,             0.05476,            0.012318,           0.0071497,             0.76515,               0.975,             0.93233,             0.44316,            0.040188,           0.0070847,           0.0041075,            0.008515,            0.008515,            0.008515
                  77,            0.047932,            0.010816,            0.010056,             0.63578,               0.975,             0.94779,             0.53328,            0.033994,           0.0068729,           0.0048221,           0.0084952,           0.0084952,           0.0084952
                  78,            0.048851,           0.0096558,            0.007553,             0.69138,             0.97596,             0.95109,             0.34094,            0.040681,           0.0067585,           0.0098287,           0.0084754,           0.0084754,           0.0084754
                  79,            0.048919,            0.012002,            0.008506,             0.58775,               0.825,             0.86514,             0.43238,            0.028309,            0.006621,            0.010975,           0.0084556,           0.0084556,           0.0084556
                  80,            0.050399,            0.010861,           0.0086407,             0.58775,               0.825,             0.86514,             0.43238,            0.028309,            0.006621,            0.010975,           0.0084358,           0.0084358,           0.0084358
                  81,            0.043554,            0.013019,            0.006689,             0.72547,                 0.8,             0.87863,             0.53646,            0.028515,           0.0063663,            0.015712,            0.008416,            0.008416,            0.008416
                  82,            0.045423,            0.011823,           0.0078322,             0.44648,             0.94794,             0.70802,              0.3327,            0.036566,           0.0064361,            0.019089,           0.0083962,           0.0083962,           0.0083962
                  83,            0.052307,            0.012781,           0.0075217,             0.77014,             0.99873,             0.91462,             0.52158,            0.034812,           0.0062041,           0.0080201,           0.0083764,           0.0083764,           0.0083764
                  84,            0.052197,            0.011339,           0.0078355,             0.77014,             0.99873,             0.91462,             0.52158,            0.034812,           0.0062041,           0.0080201,           0.0083566,           0.0083566,           0.0083566
                  85,            0.051323,            0.012668,           0.0063973,             0.72126,               0.975,             0.95145,             0.55424,            0.030433,           0.0063762,           0.0073608,           0.0083368,           0.0083368,           0.0083368
                  86,            0.048194,            0.011984,           0.0061429,             0.68634,               0.925,             0.95463,             0.52531,            0.033316,           0.0063976,           0.0068174,            0.008317,            0.008317,            0.008317
                  87,             0.05488,             0.01223,            0.009406,             0.67865,               0.975,             0.95498,             0.54553,            0.032022,            0.006637,           0.0047902,           0.0082972,           0.0082972,           0.0082972
                  88,            0.050887,            0.010499,           0.0071447,             0.67865,               0.975,             0.95498,             0.54553,            0.032022,            0.006637,           0.0047902,           0.0082774,           0.0082774,           0.0082774
                  89,            0.050416,            0.012605,           0.0077585,             0.77667,             0.99184,             0.91167,             0.57674,            0.029617,           0.0065365,           0.0049607,           0.0082576,           0.0082576,           0.0082576
                  90,             0.05099,            0.010391,            0.007534,             0.67588,               0.925,             0.77914,             0.31506,             0.03898,           0.0064074,            0.005102,           0.0082378,           0.0082378,           0.0082378
                  91,            0.055647,            0.011098,           0.0075979,               0.721,             0.97245,             0.94507,             0.52621,            0.031737,           0.0061015,           0.0048196,            0.008218,            0.008218,            0.008218
                  92,            0.048795,           0.0096705,           0.0088911,               0.721,             0.97245,             0.94507,             0.52621,            0.031737,           0.0061015,           0.0048196,           0.0081982,           0.0081982,           0.0081982
                  93,            0.043724,            0.011236,           0.0070982,             0.96953,                   1,               0.995,             0.59973,            0.028932,           0.0061338,           0.0046777,           0.0081784,           0.0081784,           0.0081784
                  94,            0.045022,            0.010418,           0.0077872,             0.91002,             0.94383,               0.952,             0.46362,            0.035296,           0.0060582,           0.0045732,           0.0081586,           0.0081586,           0.0081586
                  95,            0.046665,            0.011331,            0.010187,             0.87721,                   1,             0.94727,             0.46382,            0.027262,             0.00626,           0.0045371,           0.0081388,           0.0081388,           0.0081388
                  96,            0.048774,            0.010266,           0.0068371,             0.87721,                   1,             0.94727,             0.46382,            0.027262,             0.00626,           0.0045371,            0.008119,            0.008119,            0.008119
                  97,             0.04051,            0.010974,           0.0063551,             0.95927,             0.88885,                0.99,             0.68395,            0.027244,            0.006237,            0.011231,           0.0080992,           0.0080992,           0.0080992
                  98,            0.040633,            0.010387,           0.0088127,             0.83531,             0.77175,             0.94029,             0.46002,            0.030676,           0.0062594,            0.030692,           0.0080794,           0.0080794,           0.0080794
                  99,            0.044024,            0.012075,           0.0068747,             0.67604,                0.75,             0.80355,             0.48723,            0.026781,            0.006161,            0.037393,           0.0080596,           0.0080596,           0.0080596
                 100,            0.042935,           0.0094564,           0.0087098,             0.67604,                0.75,             0.80355,             0.48723,            0.026781,            0.006161,            0.037393,           0.0080398,           0.0080398,           0.0080398
                 101,            0.037364,            0.011088,           0.0086123,             0.80844,             0.79835,             0.91154,             0.57317,            0.027125,           0.0060086,            0.041325,             0.00802,             0.00802,             0.00802
                 102,            0.042171,            0.012327,           0.0089547,             0.65179,             0.77951,              0.8236,             0.51835,            0.042822,            0.006292,            0.038352,           0.0080002,           0.0080002,           0.0080002
                 103,            0.050976,            0.010083,           0.0065161,             0.69138,             0.84638,             0.87267,             0.62727,            0.029442,            0.006107,            0.032338,           0.0079804,           0.0079804,           0.0079804
                 104,            0.038579,           0.0094964,           0.0087477,             0.69138,             0.84638,             0.87267,             0.62727,            0.029442,            0.006107,            0.032338,           0.0079606,           0.0079606,           0.0079606
                 105,            0.038084,            0.010158,           0.0056053,             0.70758,                   1,             0.90991,             0.66991,              0.0243,           0.0060125,            0.030059,           0.0079408,           0.0079408,           0.0079408
                 106,            0.035991,           0.0097016,           0.0078132,             0.72519,             0.86028,             0.82884,             0.32943,            0.028748,            0.006008,            0.024772,            0.007921,            0.007921,            0.007921
                 107,            0.037833,             0.01102,           0.0059347,             0.97214,               0.925,             0.96746,             0.70714,            0.026128,           0.0058497,            0.019138,           0.0079012,           0.0079012,           0.0079012
